Species	RefSeq ID	Name
Escherichia coli	GCF_003018555.1	ASM301855v1
Staphylococcus aureus	GCF_020042725.1	ASM2004272v1
Salmonella enterica	GCF_031039035.1	ASM3103903v1
Escherichia coli	GCF_021513335.1	ASM2151333v1
Escherichia coli	GCF_000017985.1	ASM1798v1
Escherichia coli	GCF_001663075.1	ASM166307v1
Staphylococcus aureus	GCF_026547075.1	ASM2654707v1
Staphylococcus aureus	GCF_027943925.1	ASM2794392v1
Staphylococcus aureus	GCF_900474575.1	40415_F02
Escherichia coli	GCF_020526725.2	ASM2052672v2
Escherichia coli	GCF_030515495.1	ASM3051549v1
Staphylococcus aureus	GCF_037809465.1	BSN76
Pseudomonas aeruginosa	GCF_036236995.1	ASM3623699v1
Salmonella enterica	GCF_020715365.1	ASM2071536v1
Salmonella enterica	GCF_004194615.2	ASM419461v2
Escherichia coli	GCF_037575825.1	ASM3757582v1
Escherichia coli	GCF_036702575.1	ASM3670257v1
Salmonella enterica	GCF_020714825.1	ASM2071482v1
Pseudomonas aeruginosa	GCF_013343435.1	ASM1334343v1
Bacillus subtilis	GCF_000227485.1	ASM22748v1
Escherichia coli	GCF_001559615.2	ASM155961v2
Escherichia coli	GCF_022058205.1	ASM2205820v1
Salmonella enterica	GCF_000272775.4	ASM27277v4
Listeria monocytogenes	GCF_018672415.1	ASM1867241v1
Limosilactobacillus fermentum	GCF_018732245.1	ASM1873224v1
Escherichia coli	GCF_025200675.1	ASM2520067v1
Escherichia coli	GCF_035974135.1	ASM3597413v1
Escherichia coli	GCF_016903815.1	ASM1690381v1
Staphylococcus aureus	GCF_020702585.2	ASM2070258v2
Escherichia coli	GCF_025159115.1	ASM2515911v1
Salmonella enterica	GCF_012530335.1	ASM1253033v1
Pseudomonas aeruginosa	GCF_036233195.1	ASM3623319v1
Salmonella enterica	GCF_016454365.1	ASM1645436v1
Escherichia coli	GCF_029990415.1	ASM2999041v1
Enterococcus faecalis	GCF_028335425.1	ASM2833542v1
Bacillus subtilis	GCF_000338735.1	ASM33873v1
Salmonella enterica	GCF_030913615.1	ASM3091361v1
Escherichia coli	GCF_022759905.1	ASM2275990v1
Escherichia coli	GCF_027944995.1	ASM2794499v1
Salmonella enterica	GCF_037868635.1	ASM3786863v1
Escherichia coli	GCF_016944635.1	ASM1694463v1
Pseudomonas aeruginosa	GCF_038431925.1	ASM3843192v1
Salmonella enterica	GCF_000272895.2	ASM27289v3
Escherichia coli	GCF_035582475.1	ASM3558247v1
Staphylococcus aureus	GCF_030534015.1	ASM3053401v1
Staphylococcus aureus	GCF_025559745.1	ASM2555974v1
Staphylococcus aureus	GCF_002088995.1	ASM208899v1
Escherichia coli	GCF_021498165.1	ASM2149816v1
Staphylococcus aureus	GCF_002000645.1	ASM200064v1
Escherichia coli	GCF_000023665.1	ASM2366v1
Escherichia coli	GCF_033098385.1	ASM3309838v1
